index,key,offset
0,Esc,5
1,F1,11
2,F2,17
3,F3,23
4,F4,29
5,F5,35
6,F6,41
7,F7,47
8,F8,53
9,F9,59
10,F10,65
11,F11,71
12,F12,77
13,PrintScreen,83
14,ScrollLock,89
15,Pause,95
16,Backtick,0
17,1,6
18,2,12
19,3,18
20,4,24
21,5,30
22,6,36
23,7,42
24,8,48
25,9,54
26,0,60
27,Minus,66
28,Equal,72
29,Backspace,78
30,Insert,84
31,Home,90
32,PageUp,96
33,Tab,1
34,Q,7
35,W,13
36,E,19
37,R,25
38,T,31
39,Y,37
40,U,43
41,I,49
42,O,55
43,P,61
44,LeftBracket,67
45,RightBracket,73
46,Backslash,79
47,Delete,85
48,End,91
49,PageDown,97
50,CapsLock,2
51,A,8
52,S,14
53,D,20
54,F,26
55,G,32
56,H,38
57,J,44
58,K,50
59,L,56
60,Semicolon,62
61,Quote,68
62,Enter,80
63,LeftShift,3
64,Z,15
65,X,21
66,C,27
67,V,33
68,B,39
69,N,45
70,M,51
71,Comma,57
72,Period,63
73,Slash,69
74,RightShift,81
75,Up,93
76,LeftCtrl,4
77,LeftMeta,10
78,LeftAlt,16
79,Space,34
80,RightAlt,52
81,Fn,58
82,Menu,64
83,RightCtrl,76
84,Left,88
85,Down,94
86,Right,100
